"proposition","source"
"Nous ferons une loi d’orientation sur les infrastructures, incorporant les besoins de renouvellement de l’existant, dès le début du mandat, pour sélectionner les projets à réaliser et s’assurer qu’ils sont bien financés, sans que cela se fasse au détriment de l’existant.","https://en-marche.fr/emmanuel-macron/le-programme/mobilite"
"Nous créerons une prime exceptionnelle de 1000 euros pour permettre à tous ceux dont les véhicules ont été fabriqués avant 2001 d’acheter des voitures plus écologiques, qu’elles soient neuves ou d’occasion.","https://en-marche.fr/emmanuel-macron/le-programme/mobilite"
"Pour réduire massivement la pollution liée aux particules fines, la fiscalité du diesel sera alignée sur celle de l’essence pendant le quinquennat.","https://en-marche.fr/emmanuel-macron/le-programme/mobilite"
"Nous pèserons pour renforcer les normes anti-pollution européennes pour les véhicules neufs et les contrôles en conditions réelles (en tirant les enseignements du scandale Volkswagen), avec pour objectif de long terme de n’avoir plus, en 2040, aucune vente de véhicule thermique.","https://en-marche.fr/emmanuel-macron/le-programme/mobilite"
"Nous financerons des actions de prévention au titre des missions d’intérêt général dans les établissements de santé et des objectifs de performance pour tous les professionnels de santé libéraux.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous créerons un service sanitaire de 3 mois pour tous les étudiants en santé : dans ce cadre, 40 000 d’entre eux interviendront dans les écoles, les entreprises, pour des actions de prévention.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous soutiendrons la recherche en santé environnementale et limiterons les risques d’exposition aux substances à risque.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous ferons évoluer la rémunération des médecins en ville afin de mieux valoriser les actions de prévention.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous travaillerons sur la pertinence des soins, et nous engageons à ce qu’aucun soin utile ne soit déremboursé pendant les 5 ans qui viennent.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"S’agissant des lunettes, des prothèses dentaires et de l’audition, nous fixons l’objectif de 100% de prise en charge pour 2022, car la couverture reste trop faible aujourd’hui. Nous réaliserons cet objectif sans augmenter le prix des mutuelles. Pour cela, nous favoriserons la concurrence, en instaurant notamment 3 contrats types que devront proposer assureurs et mutuelles pour garantir la transparence et faciliter les comparaisons.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous rétablirons le remboursement à 100% du traitement des formes sévères d’hypertension artérielle (HTA).","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"S’agissant du tiers payant, nous prendrons le temps d’évaluer ses bénéfices et les contraintes qu’il pourrait induire.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous renforcerons le droit à l'oubli pour les personnes ayant été malades.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous nous battrons contre les déserts médicaux qui touchent de nombreuses zones rurales, périurbaines, des villes et des hôpitaux.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Le numerus clausus actuel est injuste et inefficace, nous formerons davantage de praticiens et adapterons les capacités de formation aux besoins de santé des territoires.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Pour répondre aux attentes nouvelles des professionnels de santé à travailler en groupe et ainsi favoriser leur installation dans les territoires sous dotés, nous doublerons le nombre de maisons pluridisciplinaires de santé.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous déverrouillerons massivement l’accès à la télémédecine, levier de lutte contre les inégalités sociales et territoriales de santé.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous renforcerons l’attractivité des métiers de santé de soins primaires et donnerons davantage d’autonomie aux hôpitaux en diversifiant les modes de rémunération des professionnels et les modes de financement des hôpitaux, dans un cadre sécurisé nationalement.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous évaluerons la qualité et la pertinence des soins, rendrons les informations totalement transparentes pour les usagers, améliorerons la formation des professionnels et la diffusion des bonnes pratiques.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Actuellement, un médicament acheté sur deux n’est pas consommé avec un risque d’automédication et d’impact environnemental. Cela entraîne un gaspillage de 7 milliards d’euros par an : nous généraliserons donc la vente de médicaments à l’unité.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous accélérerons le déploiement des groupements hospitaliers de territoire.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous diversifierons les modes de financement des établissements de santé, en réduisant la place de la tarification à l’activité (T2A) pour favoriser des financements liés à des objectifs précis et des missions de santé publique, aux parcours ou aux épisodes de soins, incluant le secteur médico-social.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous soutiendrons les initiatives et les expérimentations des professionnels de santé, médicaux, paramédicaux, hospitaliers et libéraux, afin de renforcer la coordination des soins et de mieux accompagner les malades dans leur parcours.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous développerons les pratiques avancées, dans un dialogue constructif avec les professionnels de santé, afin que chacun puisse se concentrer sur son cœur de métier.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous adapterons les formations de santé pour répondre aux nouveaux défis et aux attentes des professionnels, comme par exemple l’accès au doctorat à plus de paramédicaux pour développer la recherche et harmoniser les pratiques soignantes.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Pour soutenir nos entreprises innovantes en santé, les inciter à produire en France et diffuser plus rapidement l’innovation, nous assurerons des autorisations plus rapides de mise sur le marché.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous ouvrirons avec les industriels un dialogue sincère et exigeant pour payer les médicaments à leur juste prix, soutenir l’innovation et la production en France, renforcer la visibilité pour chacun, dans la durée.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous gérerons nos dépenses et notre stratégie de santé sur un horizon de plusieurs années pour donner de la visibilité et de la stabilité aux acteurs de santé.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Parce qu’on ne peut pas se contenter de limiter les coûts à court terme et qu’il faut changer de logique pour faire des économies durables, nous investirons pour faire des réformes de fond.","https://en-marche.fr/emmanuel-macron/le-programme/sante"
"Nous donnerons la priorité à l’accessibilité des transports publics et de la voirie.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous accompagnerons les collectivités locales pour qu’elles fournissent une solution d’accessibilité à leurs habitants.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous investirons pour faciliter l’accessibilité numérique. Nous créerons une plateforme numérique collaborative pour généraliser des bonnes pratiques locales.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"‘Changer de regard’ sur le handicap commence par ‘mieux connaître’ le handicap : nous instaurerons une sensibilisation systématique au handicap dans les écoles primaires et les collèges, en favorisant l’intervention de personnes concernées dans les classes.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous encouragerons la tenue d’actions collectives autour du handicap dans les administrations, les grandes entreprises publiques et les collectivités (séminaires, mécénat de compétence, collectes, partenariats, programmes d’aide).","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous favoriserons des binômes entre personnes valides et handicapées dans les différents lieux de vie (école, travail, ville) fondés sur l’échange et la contribution effective de chacun. L’aide ne doit pas seulement passer par un professionnel ou la famille.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous identifierons un référent facilement accessible pour chaque personne, qui permettra de renforcer l’accompagnement aux démarches.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous améliorerons la protection juridique des majeurs sous tutelle afin de répondre aux recommandations récentes du Défenseur des droits. Nous développerons les moyens des services des tutelles afin de permettre un encadrement individualisé de qualité de ces personnes.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"L'allocation aux adultes handicapés (AAH), pour une personne seule, est aujourd'hui d'environ 800€ par mois : nous la porterons au-delà de 900 par mois.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous instaurerons des évaluations systématiques de la satisfaction dans les établissements médico-sociaux.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous adapterons les règles de tarification des établissements et services médico-sociaux pour permettre une réponse individualisée et le maintien du lien avec les familles.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Les bailleurs sociaux devront identifier les logements adaptés pour les personnes handicapées et les personnes vieillissantes de leur parc (logements en rez-de-chaussée accessibles sans marche depuis le trottoir par exemple) et rendre cette liste transparente.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
